연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
소형화장대,100,600,0.8,24.5,0.71%,4.34%,높음,8
냉이씨앗,50,650,1.5,38.3,2.73%,6.92%,높음,8
완두콩씨앗,110,590,2.6,30.5,2.37%,6%,높음,8
빈화분,250,430,1.5,8.5,0.62%,2.01%,높음,8
독활효능,40,640,0.4,25,1.06%,4.63%,높음,10
전동전정가위,120,560,1.8,33.2,1.57%,6.79%,높음,10
충전식전지가위,70,610,2.3,34.8,3.29%,6.02%,높음,10
매실엑기스,100,580,0.5,8.5,0.5%,1.55%,높음,8
조경업체,300,370,14,16.2,4.73%,4.53%,높음,10
삽목발근제,60,610,2.5,26.3,3.86%,4.98%,높음,10
플랜트월,290,380,5.5,12,1.91%,3.41%,높음,10
슬림콘솔,70,600,1.5,18,2%,3.04%,높음,8
달래씨앗,80,590,2.1,27,2.76%,4.87%,중간,7
유실수묘목,180,480,18.3,44.8,10.71%,10.55%,높음,10
정원용품,120,540,7.3,27.8,6.3%,6.92%,높음,10
하이엔드인테리어,200,460,5.9,12.8,3%,2.89%,높음,10
투명화분,110,540,1.5,16,1.31%,3.01%,높음,8
개업선물화분,90,560,1.8,19.8,1.88%,3.49%,높음,10
고급화분,90,560,3.5,12.8,3.73%,2.33%,높음,8
뱅갈나무,120,530,1.6,20.8,1.33%,4.12%,높음,8
화분물조리개,130,520,0.1,9,0.1%,1.77%,높음,8
도라지씨앗,130,520,3.1,23.8,2.47%,5.08%,높음,8
베란다화분,90,550,0.8,5.5,0.84%,1.3%,높음,8
화분분무기,100,540,1.6,19.7,1.57%,4.19%,높음,8
폭좁은콘솔,50,590,2.4,40.8,4.17%,7.28%,높음,8
동백나무화분,70,570,1.3,7.5,1.79%,1.42%,높음,8
마늘영양제,90,540,1.1,30.3,1.18%,5.92%,높음,8
채소영양제,80,550,0.9,9.5,1.08%,1.82%,높음,7
양귀비씨앗,130,500,0.9,3.5,0.75%,0.78%,높음,10
풍난,60,570,0.5,19,0.84%,3.61%,높음,8
지렁이분변토,130,490,1.4,16.8,1.07%,3.9%,높음,8
옥상정원,210,410,4.3,17.8,2.12%,4.66%,높음,10
선인장화분,90,530,0.9,5.3,0.92%,1.05%,높음,8
긴화분,110,510,0.8,16.3,0.66%,3.52%,높음,8
공기정화화분,110,510,2.8,16.3,2.34%,3.5%,높음,8
가습식물,130,490,0.5,5.5,0.39%,1.21%,높음,10
화초영양제,60,560,2,27.3,3.13%,4.99%,높음,8
식물이름표,140,480,1.4,14.3,0.98%,3.12%,높음,8
충전식농약분무기,90,530,1.8,15,2.28%,3.33%,높음,10
홈가드닝,270,340,3.4,6.3,1.22%,2.11%,높음,8
인산가리,160,450,2.3,19.3,1.4%,4.44%,높음,8
삼잎국화모종,60,550,2.5,6.6,4.71%,1.5%,중간,6
유럽상추씨앗,80,530,3.8,29,4.58%,7.02%,중간,7
질경이씨앗,50,560,0.3,13.8,0.56%,2.57%,높음,10
센스있는개업축하문구,30,570,0.1,14.8,0.38%,2.57%,높음,7
북유럽가구,170,430,6.8,22.2,4.03%,5.35%,높음,10
귀여운화분,90,500,0.3,3,0.27%,0.67%,높음,8
개업화분종류,100,490,1.9,22.2,1.78%,4.66%,높음,10
드라코키우기,50,540,0.3,2.3,0.66%,0.45%,높음,3
분갈이화분,100,490,3.3,8,3.1%,1.71%,높음,8
블루베리영양제,80,510,2.5,24,2.98%,4.98%,높음,8
묘종,120,470,0.7,1.2,0.53%,0.29%,높음,3
원예치료,290,290,3.5,10.3,1.23%,3.61%,높음,10
원예종묘,290,290,33.5,41.6,12.06%,14.45%,높음,10
칼슘비료,110,470,2.8,22.3,2.53%,5.1%,높음,8
보라색튤립,70,510,0,1.7,-,0.35%,높음,3
감자씨앗,80,500,3.6,32.8,4.37%,7.2%,높음,8
타피스트리,90,490,0.2,2.8,0.23%,0.59%,높음,10
화분걸이,70,500,0.7,7.5,0.95%,1.62%,높음,10
멀티코트,150,420,2.1,11,1.44%,2.91%,높음,8
토마토모종,90,480,0.4,10,0.43%,2.32%,높음,8
감자전용비료,120,450,3.7,23.8,3.14%,6.03%,높음,8
사무실식물,210,360,1.4,3.8,0.66%,1.1%,높음,8
옹기화분,100,470,2.4,18,2.43%,3.99%,높음,8
묘목파는곳,100,460,9.9,44,10.77%,10.74%,높음,10
화분만들기,110,450,0,3.5,-,1.16%,높음,8
항아리화분,60,500,1.3,10.3,1.87%,2.36%,높음,8
황산칼슘,140,420,2.3,3.5,1.59%,0.87%,높음,8
화분물받이,110,450,1,7.5,0.84%,1.84%,높음,8
차이브씨앗,60,500,2,38.3,3.67%,7.86%,중간,7
직사각화분,120,430,2.6,15.3,2.21%,3.87%,높음,8
살수기,220,330,1.1,6.3,0.5%,1.96%,높음,8
대리석거실장,80,470,2.9,25.6,3.54%,5.16%,높음,10
루꼴라씨앗,90,460,0.5,9.3,0.56%,2.26%,높음,10
대나무화분,80,460,1.6,22.5,2.06%,5.14%,높음,8
카페개업화분,60,480,3,18.3,4.42%,4.63%,높음,8
엽면시비,160,380,0.1,2,0.06%,0.56%,높음,10
파쇄석가격,100,440,4.1,31.5,3.99%,7.78%,높음,10
호박석,90,450,0.3,1.5,0.36%,0.37%,높음,10
FERMLIVING,110,430,5.5,48.5,5.06%,11.43%,높음,10
막걸리병,120,420,2.5,11.8,2.09%,2.88%,높음,8
충전가위,80,460,0.6,20.8,0.76%,4.97%,높음,8
휴가토,140,390,0.8,10.3,0.54%,2.84%,높음,8
강모래,190,340,4.1,9,2.15%,2.77%,높음,8
옥천나무시장,90,440,7.4,42.1,8.32%,11.21%,높음,10
액비,200,330,0.5,3,0.26%,0.99%,높음,8
임파첸스,90,440,0.4,12,0.43%,3.04%,높음,8
복도콘솔,50,480,1.9,16.8,3.29%,3.71%,높음,8
마사토가격,100,420,4.4,36.9,4.4%,9.72%,높음,10
금호선인장,30,490,0.3,5.3,0.9%,1.15%,높음,10
조경자재,320,200,13.7,12.4,4.22%,6.36%,높음,10
공기정화기,140,380,0.5,6,0.36%,1.63%,높음,10
거실식물인테리어,70,450,0.6,8.8,0.83%,2.07%,높음,8
무씨,60,460,0.3,0,0.5%,-,높음,3
산세베리아분갈이,50,470,0.3,0.7,0.58%,0.15%,중간,3
생명토,110,400,0.8,11.3,0.69%,3.14%,높음,8
군자란분갈이,20,490,0.3,10.5,1.24%,2.36%,중간,7
개양귀비,70,440,0,0,-,-,높음,3
분무기헤드,190,320,1,4,0.51%,1.27%,높음,8
고추종자,100,410,2.5,22,2.36%,5.45%,높음,8
유리화분,80,420,1.4,9,1.77%,2.21%,높음,8
방울토마토모종,150,350,1.3,8.3,0.85%,2.7%,높음,8
왕사,90,410,1,3.3,1.24%,0.97%,높음,8
아스파라거스모종,60,440,0.9,13.5,1.4%,3.48%,높음,8
해미석,260,240,4.3,6.6,1.66%,2.78%,높음,10
유치원교구,170,330,6.4,22,3.61%,6.57%,높음,8
대파모종,120,380,2.7,9.8,2.52%,3.02%,중간,7
충전식예초기,120,380,2.4,11.5,1.97%,3.57%,높음,10
중형화분,60,430,1.4,9.5,2.15%,2.22%,높음,8
천연종합비타민추천,30,460,0.4,12.5,1.14%,3.11%,높음,8
원목화분선반,50,440,0.9,13.5,1.63%,3.17%,높음,8
막삽,210,280,1.5,8.3,0.72%,3.02%,높음,8
당근씨앗,70,410,0.8,14.8,1.02%,3.71%,높음,8
킹벤자민,80,400,0.1,4.8,0.16%,1.24%,높음,8
난영양제,110,370,0.6,11.8,0.56%,3.45%,높음,8
폴리인산,90,390,0,0.7,-,0.18%,높음,3
실내나무,50,430,1.1,5.3,2.05%,1.32%,높음,8
농사용비닐,130,350,4.5,18,3.79%,5.58%,높음,8
화분이름표,110,370,1.5,7.8,1.41%,2.13%,높음,8
원예치료사자격증,120,350,3.9,25.8,3.23%,7.53%,높음,10
조경회사,160,310,6.4,7.4,4.03%,2.45%,높음,10
금전수종류,30,440,0,9.3,-,2.27%,높음,8
책상화분,140,330,2.5,12.3,1.84%,3.79%,높음,8
수경식물영양제,70,400,0.6,10.5,0.87%,2.78%,높음,8
질산칼슘비료,70,400,2.1,25.3,3.05%,7%,높음,10
나비수국,40,430,0.3,10.3,0.77%,2.5%,중간,7
가우라,190,280,1.6,8.8,0.89%,3.28%,높음,10
엔진동력분무기,90,380,2.8,16,2.95%,4.4%,높음,10
채심,70,400,0,0,-,-,낮음,0
개업축하,90,370,0.5,7,0.54%,1.89%,높음,10
착색제,150,310,0.3,1.8,0.17%,0.58%,높음,8
채소씨앗,160,300,6.9,13,4.34%,4.68%,높음,7
개업화분당일배송,50,400,3.6,21,6.87%,5.29%,높음,7
엔텍비료,90,360,2.7,18.3,3.17%,5.56%,중간,6
휴믹산,120,330,2.8,13,2.32%,4.07%,높음,8
원목공간박스,110,340,1.6,7.3,1.52%,2.22%,높음,8
조경공사,280,160,3.5,1.4,1.27%,0.89%,높음,10
잠복소,160,280,0.8,3.3,0.48%,1.11%,높음,10
텃밭상자,150,290,4.3,10.6,2.99%,3.98%,높음,10
20대영양제추천,100,340,0.7,8.8,0.66%,2.59%,높음,10
가축분퇴비,110,330,1.2,5,1.07%,1.93%,높음,8
수박씨,110,330,0.7,3,0.66%,0.96%,중간,8
땅두릅씨앗,80,360,3.3,29.8,4.23%,8.7%,높음,8
원예용품,220,210,5.6,13,2.8%,6.29%,높음,8
제오라이트,120,310,1.3,10.3,1%,3.37%,높음,8
대림묘목,130,300,13.1,33.5,10.37%,12.19%,중간,8
화분파는곳,30,400,0,2.5,-,0.7%,높음,8
사무실이전선물,140,290,0.3,5.5,0.22%,1.91%,높음,10
사무실개업화분,80,350,1.4,15.6,1.6%,5.19%,높음,8
모래가격,170,260,7.1,24.4,4.23%,9.61%,높음,10
야라비료,100,330,3.8,19.3,3.71%,6.14%,높음,8
수직정원,180,250,5.1,10,2.9%,4.12%,높음,10
자동전지가위,40,390,0.3,20,0.55%,5.59%,높음,8
좁은화장대,50,380,1.1,8.3,1.94%,1.91%,높음,7
잔대씨앗,50,380,1.9,34.5,4.17%,9.86%,높음,8
실내식물인테리어,10,410,1.3,2.8,10.72%,0.77%,높음,7
이쁜화분,50,370,0.4,4,0.64%,1.14%,높음,8
화분배송,110,310,5.7,27.8,4.92%,8.97%,높음,10
고추전용비료,60,360,0.9,17.3,1.61%,5.33%,높음,10
유안비료,130,290,1.8,3.2,1.37%,1.28%,중간,4
접도,120,300,2.6,9.1,2.08%,3.17%,중간,5
나아바,90,330,9.8,52.3,11%,16.65%,낮음,2
도시농업,200,220,1.5,7.8,0.77%,3.68%,높음,10
공기청정기받침대,60,360,0.1,1.5,0.21%,0.45%,높음,8
동생사,120,290,1.6,7.5,1.34%,2.63%,중간,7
오키아타바크,100,310,1.1,8,1.11%,2.69%,높음,8
밍이네가든,100,310,7.4,24,7.32%,8.14%,중간,5
미리근,90,320,2.9,14.7,3.19%,5.05%,중간,5
어항모래,70,340,0.3,8.8,0.38%,2.59%,높음,8
분갈이매트,90,320,1.3,6,1.46%,2.05%,높음,8
원목화분정리대,20,390,1,11.3,3.58%,3.41%,높음,8
대파씨앗,60,350,1.4,15.5,2.38%,4.66%,높음,8
베란다식물,80,330,0.4,1.3,0.47%,0.42%,높음,8
참깨씨앗,70,340,1.4,11.5,1.89%,3.51%,높음,8
화분가격,60,340,0.5,7.3,0.77%,2.18%,높음,8
어분,120,280,0.5,3.5,0.41%,1.32%,중간,6
크로톤꽃,20,380,0,0,-,-,높음,3
개원화분,90,310,4.9,15.3,4.88%,4.89%,높음,8
미량요소비료,90,310,1.3,21,1.41%,6.96%,높음,8
인산비료,80,320,2.6,14,3.37%,4.64%,높음,8
인산암모늄,150,250,1,3.8,0.65%,1.6%,높음,8
유황비료,60,340,2.2,14,3.61%,4.55%,높음,8
구근류,130,270,0.3,2.5,0.25%,1.03%,높음,10
솔체꽃,70,330,0.3,1.2,0.48%,0.38%,높음,3
꽃식물,40,360,0,0.3,-,0.1%,중간,3
이케아물조리개,50,350,0,0.3,-,0.1%,높음,3
출장분갈이,70,320,2.8,8.6,3.94%,2.83%,높음,9
난분갈이,60,330,0.2,8.3,0.35%,2.65%,높음,10
고무나무화분,60,330,1.1,8.3,1.85%,2.46%,높음,8
나무영양제,100,290,2.3,5,2.11%,1.85%,높음,8
유리아미노산,80,310,1.5,10.8,1.85%,3.62%,높음,8
납작이,50,340,0,0,-,-,높음,3
친절한마이쮸,130,260,1.9,13.5,1.44%,5.08%,중간,3
나무지지대,80,310,0.6,4.3,0.72%,1.47%,높음,8
미니분무기,70,320,0,0.3,-,0.09%,높음,8
나무전지가위,40,350,1.1,26.5,2.56%,8.04%,높음,8
철제받침대,100,290,0,0.8,-,0.29%,높음,8
블루베리흙,40,340,1.1,14.5,2.56%,4.77%,높음,8
크로톤화분,40,340,1.1,6.5,2.4%,1.93%,높음,8
관엽,140,240,1.6,2.3,1.12%,1.02%,높음,8
꽃영양제,40,340,1.5,6,3.49%,1.91%,높음,8
돌종류,70,310,0.7,10,0.99%,3.32%,높음,10
어항자갈,50,330,0.4,7,0.71%,2.26%,높음,8
제주수선화,50,330,1.3,9.2,2.24%,2.92%,낮음,2
트롤화분,70,310,1.1,9,1.53%,3.13%,중간,4
실내정화식물,50,320,0.6,10.5,1.23%,3.6%,높음,8
감성화분,80,290,1.8,7.8,1.95%,2.89%,높음,8
스마트화분,110,260,0.4,6.8,0.34%,2.87%,높음,8
쎄르,90,280,2,20.5,2.13%,8.83%,낮음,2
감자비료,60,310,0.8,6.3,1.2%,2.2%,높음,8
온실가루이,90,280,0.1,2,0.12%,0.74%,높음,10
노란수선화,50,320,0,0.6,-,0.3%,높음,3
튜울립구근,40,330,1.7,21.5,3.96%,7.56%,높음,10
콩나물재배,60,310,0.5,8.3,0.84%,2.71%,높음,8
순돌이와대근이,60,310,4.3,0.7,6.75%,0.22%,중간,3
화분분갈이흙,50,310,0.5,16.3,0.95%,5.79%,높음,10
화분갈이흙,50,310,1.8,16.5,3.22%,5.98%,높음,10
다육이분갈이흙,30,330,0.7,9.3,2%,3.45%,높음,10
공기정화,90,270,0,0.8,-,0.29%,높음,8
묘목농원,130,230,12.7,17.6,10.41%,8.67%,높음,10
붕소비료,50,310,0.8,14.3,1.63%,5.38%,높음,8
행운목화분,50,310,1,7.8,1.89%,2.52%,높음,8
강남꽃도매상가,30,330,0,1.3,-,0.42%,높음,3
식물발근제,40,320,0.6,11.3,1.36%,4.1%,높음,8
프리지아구근,60,300,0.9,8,1.37%,2.86%,높음,8
미끄럼방지포장,290,70,8.8,4,3.03%,5.27%,높음,10
전기분무기,80,280,0.8,6,0.93%,2.36%,높음,8
쪽파씨앗,40,320,0.7,15.5,1.44%,6.04%,높음,9
고수씨,50,310,0.4,5,0.77%,1.69%,중간,7
소나무바크,80,270,2.8,15.3,3.06%,6.13%,높음,8
화분추천,50,300,0.3,2.8,0.44%,0.93%,높음,8
봄꽃화분,50,300,0,1,-,0.4%,높음,8
직사각형화분,80,270,1.8,6.5,2.06%,2.53%,높음,8
공기정화식물종류,30,320,0.5,12.8,1.29%,4.21%,높음,8
랜드콘,80,270,4.1,23.7,5.53%,9.34%,중간,5
나르겐,70,280,0.6,13.2,0.91%,4.75%,중간,5
해바라기키우기,50,300,0,0.7,-,0.24%,높음,3
제라늄씨앗,40,310,1,16.3,2.33%,5.55%,높음,8
화분테이블,50,300,0,2,-,0.71%,높음,8
철제화분선반,30,320,0.6,8,2.09%,2.99%,높음,8
히카마재배,30,320,0.4,15.8,1.52%,4.93%,높음,7
거실복도인테리어,40,310,0,1.2,-,0.41%,중간,4
용토,140,200,0.4,5.5,0.29%,2.95%,높음,8
다이소마사토,60,280,0,0,-,-,중간,2
무비상토,60,280,2.5,11.8,3.7%,4.52%,중간,4
흑자갈,130,210,4.3,6.3,3.11%,3.23%,높음,8
대형선인장,40,300,1.3,7.8,2.78%,2.69%,높음,8
극락조화분,40,300,0.5,8.5,1.17%,2.97%,높음,8
석회비료,60,280,0.5,5.8,0.72%,2.19%,높음,8
성분분석의뢰,110,230,4.8,15.4,4.07%,6.94%,높음,10
아름다운길,240,100,64,18.2,32.5%,26.44%,낮음,1
율마키우기,50,290,0,0,-,-,높음,3
송이석,60,280,1.9,8.3,3.12%,3.02%,높음,10
봄꽃씨앗,50,290,2.1,20.3,3.94%,8.17%,높음,8
원목상자,70,270,1,4.3,1.43%,1.76%,높음,8
맥주통,50,290,1,0.7,2%,0.24%,높음,3
배합토,70,260,0.2,5.8,0.22%,2.42%,중간,6
알비료,60,270,0.3,4.3,0.41%,1.67%,높음,8
복지원예사,120,210,1,0,0.78%,-,중간,1
화분가게,20,310,0,2.8,-,0.95%,높음,10
허브모종,80,250,1.1,8.8,1.36%,3.76%,높음,8
액체비료,80,250,0.6,2,0.74%,0.95%,높음,8
글로벌아그로,180,150,3.3,1.3,1.8%,0.94%,높음,3
알뿌리,50,280,0,0,-,-,높음,3
사랑초구근,20,310,0.4,19,1.44%,6.58%,중간,8
쇠갈퀴,100,230,0.9,5.3,0.91%,3.44%,높음,8
콘솔장,50,280,0.4,7.8,0.73%,2.85%,높음,8
한판승,70,250,0.5,0.4,0.88%,0.19%,중간,2
황산칼륨,100,220,1.6,3.3,1.54%,1.55%,높음,8
화분도매,100,220,7.2,13.3,7.2%,6.34%,높음,10
집들이선물화분,40,280,0.5,4,1.17%,1.42%,높음,10
관엽식물영양제,30,290,0,9.5,-,3.5%,높음,8
개화촉진제,40,280,0.5,5,1.09%,1.85%,높음,8
고추모종키우기,40,280,0.6,7,1.75%,2.79%,중간,6
학교운동장,60,260,0.1,2.5,0.15%,1.09%,높음,10
화분돌,60,260,0.4,7.8,0.67%,3.08%,높음,8
어수리모종,30,290,1.5,17.2,4.92%,6.49%,중간,4
벽면녹화,200,120,7.8,8.4,3.74%,6.83%,높음,10
양귀비씨,50,270,0,2.8,-,1.12%,중간,6
작두콩심기,20,300,0.3,10.8,1.49%,4.08%,중간,6
고형비료,120,190,2.8,10,2.3%,5.5%,높음,8
바로커,50,260,2.5,9.1,4.47%,4.26%,낮음,2
소나무껍질,40,270,0.3,11.5,0.54%,4.41%,높음,8
선물용화분,80,230,2.2,4.6,2.72%,2.05%,높음,10
개업미니화분,50,260,0.8,4,1.42%,1.57%,높음,8
사무실이전화분,140,170,5.4,10,3.71%,5.59%,높음,8
사각대형화분,110,200,3.5,14.3,3.02%,7.25%,높음,10
가게오픈화분,30,280,1.1,13.6,2.69%,4.99%,높음,10
라탄화분,50,260,1.4,2.5,2.7%,0.99%,높음,8
후리지아구근,30,280,0.6,15,1.79%,5.96%,높음,8
무스카리구근,40,270,0.8,6.5,1.96%,2.64%,높음,10
아마릴리스구근,30,280,0.8,13.5,2.29%,5.08%,높음,10
씨앗몰,80,230,1.9,4.3,2.29%,1.87%,높음,8
꽃키우기,40,270,0,4.8,-,1.93%,높음,8
수제화분,40,260,0.3,6,0.61%,2.35%,높음,8
엔틱화분,50,250,1.1,7.3,2.17%,2.98%,높음,8
인테리어조화화분,50,250,2.1,5.5,4.17%,2.71%,높음,8
혼합골재,230,70,2.8,1.3,1.22%,1.74%,높음,10
단한번비료,80,220,0.7,4.1,0.85%,1.97%,중간,3
금송화,40,260,0,0.4,-,0.15%,높음,3
오이씨앗,60,240,2,8.8,3.51%,4.15%,높음,8
거실화분받침대,40,260,1.2,9,3.34%,4.15%,높음,10
동화속나무,100,200,0.6,7.8,0.61%,4.06%,중간,8
꽃잔디씨,40,260,0.5,10.1,1.12%,4.44%,중간,6
황화코스모스,90,210,0.2,6.8,0.25%,3.35%,높음,9
압축식분무기,100,200,1.6,4,1.5%,2.04%,높음,8
희귀다육이,30,270,0.5,14.3,1.48%,5.77%,높음,10
곤드레씨앗,20,280,1.6,19,6.25%,6.6%,높음,8
잔디비료,100,190,0.8,3,0.79%,1.9%,높음,8
원예활동,100,190,0.9,0.3,0.89%,0.14%,높음,8
유기농비료,20,270,0.3,12.8,1.05%,4.69%,높음,8
모종화분,70,220,1.9,11,2.68%,5.27%,높음,8
토양오염도검사,210,80,5.5,2.4,2.59%,2.8%,높음,10
딸기모종키우기,40,250,0,0,-,-,높음,3
미장사,100,190,0.5,1.8,0.48%,0.96%,높음,10
나아바가격,20,270,3.7,26.4,14.29%,9.92%,낮음,2
화분물뿌리개,70,220,0.4,2.3,0.53%,1.09%,높음,8
화분깔망,50,240,0.3,9.3,0.56%,4.08%,높음,8
허브씨앗,50,240,3.9,16.5,7.18%,7.47%,높음,8
땅콩씨앗,60,230,1.9,11.8,3.18%,5.68%,높음,10
뱀무,40,250,0.7,0.7,1.45%,0.29%,높음,3
이케아모자걸이,20,270,0.1,1.5,0.5%,0.6%,높음,8
낮은화분,40,240,0.5,1.5,1.05%,0.66%,높음,8
칼라벤자민,30,250,0.4,3.5,0.97%,1.53%,높음,8
오픈화분,40,240,0.9,12.3,1.99%,5%,높음,8
염화가리,100,180,2.5,1.8,2.36%,1.07%,높음,8
자갈돌,40,240,0.6,8.8,1.34%,4.02%,높음,10
사각화분받침대,60,220,0.1,4.5,0.2%,2.08%,높음,8
분무기통,70,210,1,5.3,1.34%,2.58%,높음,8
수박씨앗,50,230,0.4,9.5,0.73%,4.42%,높음,8
코알라농기구,60,220,1.5,0,2.56%,-,중간,3
틈새장식장,40,240,0.5,2.3,1.09%,0.95%,높음,8
궁채씨앗,20,260,1.3,15.9,5.46%,6.56%,중간,5
화분분갈이시기,20,260,0,0,-,-,높음,3
비닐포트,70,210,2,13.3,2.86%,6.87%,높음,10
원예수업,110,160,1.6,4.8,1.43%,3.07%,높음,10
넓은화분,50,220,0.8,1.8,1.48%,0.84%,높음,8
수국화분,40,230,0.3,5,0.59%,2.36%,높음,8
원형화분,70,200,0.9,2.3,1.24%,1.24%,높음,8
고무나무키우기,50,220,0.2,4.7,0.34%,2.26%,중간,6
특대형화분,40,230,1.5,9.5,3.13%,4.14%,높음,8
고추탄저병,60,210,0.4,0.5,0.71%,0.26%,높음,7
고구마비료,40,230,0.7,7,1.6%,3.63%,높음,10
화분비료,50,220,0,7.3,-,3.44%,높음,8
흙콘크리트,210,60,5.1,6.6,2.58%,11.38%,높음,10
재생골재,140,130,0.4,1.8,0.28%,1.31%,높음,10
골재상,30,240,0.8,7,2.7%,3.08%,높음,10
강낭콩씨앗,50,220,1.8,9.5,3.31%,4.64%,높음,8
농업용분무기,60,210,1.4,5.5,2.26%,2.75%,높음,8
고정끈,70,200,0,2.8,-,1.42%,높음,8
들깨씨앗,30,240,0.8,11,2.28%,5.19%,높음,8
빈티지콘솔,30,240,0.6,9.8,1.96%,4.1%,높음,8
카라구근,30,240,1.4,12.5,4.86%,5.96%,중간,7
호박씨앗,40,230,0.8,8.3,2.09%,3.81%,높음,8
유박비료가격,30,230,0.9,11.8,3.16%,5.89%,중간,7
에스라이트,40,220,0.1,2.8,0.32%,1.28%,높음,8
신성미네랄,120,140,4.2,1.6,3.31%,1.09%,중간,2
흙벽돌,60,200,1.6,12.5,2.72%,6.48%,높음,10
선물화분,30,230,0.3,3.5,0.89%,1.52%,높음,10
옥상텃밭,110,150,1.3,5.5,1.18%,3.85%,높음,8
완숙퇴비,80,180,1,1.5,1.21%,0.96%,높음,8
아인산,80,180,1,6.5,1.2%,3.64%,높음,8
질산가리,50,210,0.4,4.5,0.77%,2.31%,높음,8
화분자갈,50,210,0.6,8.3,1.33%,3.82%,높음,8
씨생강,40,220,0,4.8,-,2.54%,낮음,2
조경가위,50,210,0.4,3.5,0.69%,1.79%,높음,8
해초바구니,50,210,0.6,4,1.23%,1.95%,높음,8
화분장식,30,230,1.3,7,3.68%,3.12%,높음,8
소형분무기,40,220,0.3,7.8,0.59%,3.64%,높음,8
로메인상추씨앗,20,240,1,18,3.45%,7.87%,높음,8
금전수분갈이흙,20,230,0,2,-,0.97%,높음,3
분토,30,220,0,1,-,0.52%,중간,2
옥원석,20,230,0.6,7,2.32%,3.06%,높음,8
원예심리상담사,80,170,1.8,9.8,2.05%,5.74%,높음,10
원예관리사,100,150,4.4,8.8,4.3%,5.51%,높음,7
녹보수화분,50,200,1.1,9.8,1.98%,4.76%,높음,8
블랙화분,40,210,0,0.3,-,0.18%,높음,3
화분꽃,30,220,0,4.8,-,2.21%,높음,8
돈들어오는나무,30,220,0.5,3.5,1.57%,1.67%,높음,8
걸이화분,30,220,0.6,4.8,1.79%,2.22%,높음,8
카페화분,40,210,0.5,4.5,1.17%,2.3%,높음,8
왕골바구니,30,220,0.9,5,2.25%,2.44%,높음,8
개업꽃,30,220,0.8,9,2.09%,4.21%,높음,8
고추비료,30,220,0.4,12.3,1.12%,6.59%,높음,10
다육이영양제,20,230,0.4,9,1.6%,4.19%,높음,10
소나무영양제,60,190,1,8.5,1.64%,4.92%,높음,10
캡마그,50,200,0,2.3,-,1.16%,높음,8
저먼아이리스,30,220,1.2,3,3.17%,1.48%,높음,7
벽화분,40,210,0.4,3.8,0.86%,1.95%,높음,8
철재가구,70,180,1.1,5.5,1.61%,3.08%,높음,8
백일홍씨앗,40,210,0.5,10.3,1.22%,5.52%,높음,8
바질씨,30,220,0,0.7,-,0.34%,높음,3
목화씨앗,40,210,0.5,8.4,1.25%,4.1%,중간,4
취나물씨앗,30,220,0.8,10,2.29%,5.11%,높음,8
다년생꽃,40,210,1,13,2.23%,6.54%,높음,8
딜씨앗,40,210,0.6,8.3,1.57%,4.39%,높음,8
메밀씨앗,40,210,0.5,5,1.17%,2.9%,높음,8
삽목상자,70,180,3.5,10.3,4.55%,6%,높음,8
금불초,50,200,0.1,5,0.25%,2.52%,중간,7
식물분갈이,130,110,0.1,1.6,0.12%,1.59%,높음,7
플라스틱화분대형,20,220,0.5,7,2%,3.4%,높음,8
정화식물,30,210,0.4,5,1.02%,2.48%,높음,8
홍콩야자화분,30,210,0.4,2.5,1.2%,1.4%,높음,7
대형나무,50,190,1.5,7,2.95%,3.98%,높음,8
붕사비료,40,200,0.2,10,0.47%,5.19%,높음,10
질산마그네슘,70,170,0.8,3.8,1.11%,2.39%,높음,8
질산태질소,60,180,0.3,2.1,0.52%,1.27%,중간,3
고운모래,70,170,0.5,1.8,0.66%,1.05%,높음,8
고추모종가격,20,220,0.5,7.8,2.46%,3.88%,중간,7
상추씨,50,190,0.6,3.5,1.23%,1.97%,높음,8
코스모스씨앗,60,180,1.8,8.1,2.86%,5.56%,높음,10
올드마켓,30,210,1.7,21.9,6.07%,11.12%,낮음,1
고추품종,50,190,0.7,4.9,1.15%,2.54%,중간,3
화산사,80,150,1.1,3,1.33%,2.16%,높음,8
다육이이름,20,210,0.3,10.8,1.15%,5.21%,높음,7
돌가루,60,170,1,6.8,1.66%,4.05%,높음,10
화분구매,30,200,0.3,4,0.7%,2%,높음,8
화분식물,40,190,0.9,4.5,1.99%,2.48%,높음,8
란초,30,200,0,2.5,-,1.35%,중간,2
사무실오픈선물,50,180,0,2.5,-,1.35%,높음,10
꽃비료,20,210,0.8,9.3,2.78%,5.17%,높음,8
고추재배,90,140,0.3,0.3,0.34%,0.2%,높음,10
노지월동식물,10,220,0.1,6.8,0.9%,3.41%,높음,8
땅두릅종근,60,170,0.6,9.3,1.21%,5.93%,높음,10
알리움구근,20,210,0.8,14.5,2.97%,7.64%,높음,10
식물벽,60,170,0.9,6.5,1.31%,3.74%,높음,8
원예장갑,140,90,0,3,-,3.41%,높음,8
소독분무기,60,170,1.4,1.5,2.06%,0.9%,높음,8
무선분무기,30,200,0.3,1.3,0.74%,0.74%,높음,8
심플화장대,30,200,0.4,5.3,1.18%,2.64%,높음,8
오이키우기,40,190,0,0,-,-,높음,3
